x,y,z,vx,vy,vz
1600.0,1544.4444440000002,-400.0,0.0,0.0,0.0
1600.5215561808832,1544.4663803216836,-400.91869230362516,2.844232314946904e-11,-1.0310105200139752e-11,-6.056082718641775e-11
1600.7390785830114,1544.598441063949,-401.91880467129073,1.9664938080699024e-11,1.2195540584347686e-11,-5.4470074284385106e-11
1600.9848008569625,1544.55766951723,-402.7494849503935,8.280326077581002e-12,7.07587070533644e-12,-5.344779133165112e-11
1601.1726292100084,1544.9160953806395,-403.48151411983804,2.2392756052203033e-11,1.986368881878864e-11,-4.51906602416674e-11
1601.5660234055322,1544.902984241908,-404.17358260964335,1.312897620481257e-11,1.840963839705445e-11,-4.7551084597641236e-11
1601.7110162588865,1545.3186304582302,-404.97803042159694,2.0445827322856935e-11,1.8309603833088772e-11,-3.88105207693723e-11
1602.0381780268494,1545.2271698322547,-405.7303607526884,1.643861609335051e-11,1.4646836803307306e-13,-5.158213439715453e-11
1602.0975477794248,1545.3111998684428,-406.6197472137304,-8.435871792777938e-12,3.3232860907617123e-11,-5.7431049499401254e-11
1602.0325091095094,1546.061938274701,-407.50095076454886,3.5068172324348446e-12,3.3934365734067384e-11,-5.334239647214467e-11
1602.3759095084954,1546.5028370308364,-408.31389606473624,3.2497778773565855e-11,1.746569729121905e-11,-5.428353599956637e-11
1602.865432787848,1546.7624036752757,-409.1939306321985,3.2438607355800286e-11,9.3618316224231e-12,-5.600093999635902e-11
1603.393926833769,1546.7787364379749,-410.05683014090346,3.641670645593287e-11,-3.78884163626525e-12,-5.8108545752943996e-11
